timestamp_hms,delta_ns
03:15:21.393,325679360
03:15:21.893,920716288
03:16:27.292,14602973952
03:17:09.895,322608640
03:17:12.704,9401463552
03:18:21.392,300920064
03:18:21.796,916839168
03:20:07.302,205903872
03:21:21.327,397061120
03:21:21.724,758435584
03:21:22.482,291171840
03:23:24.393,399477248
03:23:27.402,399649536
03:24:03.986,15415858176
03:24:21.403,283705344
03:24:21.887,415048960
03:24:22.302,382820352
03:24:51.901,401806592
03:24:53.986,3019978496
03:27:21.441,955413248
03:27:22.592,222667264
03:28:51.403,222287104
03:30:03.083,14102504960
03:30:21.371,424787968
03:30:21.896,500619520
03:30:22.396,397908224
03:32:16.800,11200060416
03:33:21.420,221761792
03:33:21.642,368957696
03:33:22.011,503369472
03:33:22.514,216906240
03:35:35.101,222451712
03:36:21.425,202441728
03:36:21.627,413530624
03:36:22.041,764477184
03:36:31.174,228273920
03:36:32.530,223740160
03:36:37.816,248644352
03:36:39.754,221180160
03:36:40.359,224291840
03:36:47.715,258371072
03:36:48.322,202999296
03:36:51.130,204335360
03:36:58.040,213272064
03:37:00.929,205716736
